x,y,z,q0,q1,q2,q3
-0.720554530621,-0.182808205485,0.918760001659,-0.0430933088064,-0.0135432528332,-0.669294059277,-0.741623282433
-0.720570266247,-0.182930588722,0.918722271919,-0.0430464968085,-0.0135444626212,-0.669353961945,-0.741571903229
-0.720495045185,-0.183098882437,0.918722450733,-0.0427394807339,-0.0135038476437,-0.669571936131,-0.741393625736
-0.720637917519,-0.183339878917,0.918764591217,-0.0430177487433,-0.0133221652359,-0.669985115528,-0.741007447243
-0.720788896084,-0.183305859566,0.918609797955,-0.0429616943002,-0.0135270301253,-0.669552862644,-0.741397500038
-0.720763027668,-0.183430463076,0.918580055237,-0.0428784526885,-0.0133697288111,-0.669730603695,-0.741244614124
-0.72074007988,-0.183578774333,0.91856098175,-0.042769420892,-0.0133147221059,-0.669839441776,-0.741153657436
-0.720705032349,-0.183699801564,0.918539643288,-0.0426185727119,-0.0132504235953,-0.669991254807,-0.741026222706
-0.720730185509,-0.183780491352,0.918525338173,-0.0426606573164,-0.0131846796721,-0.670033335686,-0.74098688364
-0.720585882664,-0.183841153979,0.918473958969,-0.0424071885645,-0.0123956454918,-0.670161485672,-0.740899085999
-0.720643162727,-0.18391469121,0.91846382618,-0.0425386279821,-0.0123169692233,-0.670195221901,-0.740862429142
-0.720616340637,-0.184016257524,0.918456792831,-0.0423821359873,-0.0122670391575,-0.670304000378,-0.740773916245
-0.720744252205,-0.184255287051,0.918448925018,-0.0422410555184,-0.0122847659513,-0.670424759388,-0.740672290325
-0.720739364624,-0.184366136789,0.918415546417,-0.0420682244003,-0.0123337907717,-0.670463323593,-0.740646421909
-0.720765829086,-0.184452295303,0.918381035328,-0.0419800393283,-0.0123486407101,-0.670480310917,-0.740635871887
-0.720768809319,-0.18452642858,0.918356716633,-0.0419052541256,-0.0123335216194,-0.670534074306,-0.740591526031
-0.720761954784,-0.184602305293,0.918340861797,-0.0418135374784,-0.0123262340203,-0.670602679253,-0.740534901619
-0.720851302147,-0.184779286385,0.918394207954,-0.0421062000096,-0.0121912797913,-0.670845806599,-0.740300178528
-0.720911562443,-0.184813991189,0.918372452259,-0.0422181263566,-0.0122347874567,-0.670829951763,-0.740307569504
-0.720904707909,-0.18496003747,0.918288171291,-0.0416547544301,-0.012431813404,-0.671009004116,-0.740173816681
-0.720820069313,-0.184931695461,0.918251514435,-0.0414937101305,-0.0125412587076,-0.670974612236,-0.740212261677
-0.720866084099,-0.184967756271,0.918235957623,-0.0416617430747,-0.0125457970425,-0.67099583149,-0.740183472633
-0.7210252285,-0.185118675232,0.918329596519,-0.0421887338161,-0.0123800626025,-0.671251356602,-0.73992472887
-0.721036970615,-0.185179978609,0.918328940868,-0.0422280319035,-0.0124064683914,-0.671292126179,-0.739884972572
-0.720903515816,-0.185131877661,0.918337404728,-0.0421530306339,-0.0123398685828,-0.671326637268,-0.739859104156
-0.720940589905,-0.185246855021,0.918357491493,-0.0421109758317,-0.0125523386523,-0.671414196491,-0.739778459072
-0.721071243286,-0.185418143868,0.918345153332,-0.0421567298472,-0.0126701816916,-0.671469867229,-0.739723265171
