Fx,Fy,Fz,Tx,Ty,Tz
-0.688831701191423,-4.19965817257539,-0.245937754705084,-0.18258983374854,-0.0188037091089775,0.0125991814769427
-0.737815275105423,-4.27297188565539,-0.114185263715084,-0.18349636079154,-0.0169233353032775,0.0097863414324826
-0.762307121666423,-4.24853398129539,-0.245937754705084,-0.18349636079154,-0.0103420400215775,0.0090831309556926
-0.786798908623423,-4.24853398129539,-0.377689768865084,-0.18530941487554,-0.0075214849008775,0.0111927614547327
-0.835782482537423,-4.27297188565539,-0.377689768865084,-0.18530941487554,-0.0028205559743775,0.0111927614547327
-0.835782482537423,-4.27297188565539,-0.114185263715084,-0.18530941487554,-0.0018803709341775,0.0097863414324826
-0.884766116052423,-4.32184769436539,-0.245937754705084,-0.18802899600354,0.0009401860491224,0.0090831309556926
-0.860274329102423,-4.32184769436539,-0.245937754705084,-0.18802899600354,-0.0009401858939775,0.0090831309556926
-0.860274329102423,-4.34628559872539,-0.377689768865084,-0.18893552304554,-0.0018803709341775,0.0104895514436127
-0.884766116052423,-4.41959931179539,-0.641194750865083,-0.19074857713054,-8.53677510626039e-10,0.0118959714658427
-0.933749689972423,-4.46847512051539,-0.641194750865083,-0.19437470020054,0.0009401860491224,0.0147088115103427
-0.958241476922423,-4.51735092923539,-0.509442259865084,-0.19709428132854,0.0018803710894224,0.0175216515548427
-1.00722505084242,-4.59066511914539,-0.641194750865083,-0.20525302470954,0.0075214831934224,0.0182248634286427
-1.05620862475242,-4.71285464093539,-0.114185263715084,-0.20797260583654,0.0047009262101224,0.0104895514436127
-1.00722505084242,-4.76173044964539,-0.377689768865084,-0.21431831003454,0.0103420383141225,0.0104895514436127
-1.00722505084242,-4.90835787579539,-0.509442259865084,-0.22157052637354,0.0122224102573225,0.0083799204789126
-0.958241476922423,-4.95723368450539,-0.509442259865084,-0.22429012240254,0.0065812981532224,0.0034574499353826
-0.860274329102423,-4.98167158886539,-0.641194750865083,-0.23154233874154,-0.0018803709341775,0.0013478194363426
-0.835782482537423,-4.95723368450539,-0.641194750865083,-0.22972928465654,-0.0018803709341775,-0.0007618110626973
-0.835782482537423,-4.98167158886539,-0.641194750865083,-0.22610317648654,-0.0009401858939775,-0.0014650210738173
-0.860274329102423,-4.95723368450539,-0.641194750865083,-0.22429012240254,-0.0028205559743775,0.0013478194363426
-0.909257903012423,-4.93279578015539,-0.641194750865083,-0.22429012240254,0.0018803710894224,0.0020510295638826
-0.958241476922423,-5.00610949322539,-0.509442259865084,-0.22791623057154,0.0084616682337224,0.0069735004566626
-1.00722505084242,-5.03054739758539,-0.641194750865083,-0.23154233874154,0.0122224102573225,0.0062702904455326
-1.03171683779242,-5.10386158749539,-0.772946765025083,-0.23516844691054,0.0150429663093225,0.0048638699576226
-1.08070041171242,-5.20161320492539,-0.509442259865084,-0.23607497395354,0.0159831513495225,-5.86008187373336e-05
-1.05620862475242,-5.20161320492539,-0.772946765025083,-0.23970108212254,0.0159831513495225,0.0006446093088026
-1.00722505084242,-5.25048901364539,-0.772946765025083,-0.24332719029254,0.0150429663093225,-0.0007618110626973
-0.958241476922423,-5.22605110928539,-0.772946765025083,-0.24695329846154,0.0084616682337224,-5.86008187373336e-05
-0.958241476922423,-5.15273739621539,-0.772946765025083,-0.24242066324954,0.0065812981532224,-5.86008187373336e-05
-0.982733263882423,-5.10386158749539,-0.641194750865083,-0.23607497395354,0.0075214831934224,-5.86008187373336e-05
-0.982733263882423,-4.93279578015539,-0.509442259865084,-0.22429012240254,0.0094018532739224,-5.86008187373336e-05
-0.982733263882423,-4.78616835400539,-0.641194750865083,-0.21250525594954,0.0094018532739224,-5.86008187373336e-05
-0.982733263882423,-4.66397883221539,-0.509442259865084,-0.20525302470954,0.0112822252170225,-0.0021682310849373
-0.982733263882423,-4.56622673794539,-0.641194750865083,-0.19890733541254,0.0112822252170225,-0.0021682310849373
-1.00722505084242,-4.59066511914539,-0.641194750865083,-0.20162691654054,0.0103420383141225,-0.0007618110626973
-1.00722505084242,-4.63954092785539,-0.904699256025084,-0.20887914778054,0.0122224102573225,-0.0014650210738173
-1.00722505084242,-4.66397883221539,-0.509442259865084,-0.20525302470954,0.0065812981532224,-0.0056842816062273
-0.958241476922423,-4.63954092785539,-0.772946765025083,-0.20887914778054,0.0047009262101224,-0.0056842816062273
-0.958241476922423,-4.68841673657539,-0.641194750865083,-0.21250525594954,0.0047009262101224,-0.0077939125709273
-0.933749689972423,-4.63954092785539,-0.641194750865083,-0.20887914778054,0.0047009262101224,-0.0099035426042573
